"","company","means_of_exchange","orig_yr","orig_loc_port_modern","orig_loc_region_modern","orig_loc_lat","orig_loc_long","dest_yr","dest_loc_port","dest_loc_region","dest_loc_lat","dest_loc_long","textile_quantity","textile_unit","quant_ells","units_ells","textile_category","textile_name","textile_color_arch","textile_pattern_arch","textile_process_arch","textile_fiber_arch","textile_geography_arch","textile_quality_arch","textile_quality_inferred","value_per_piece","deb_dec"
"1","WIC","Ship: Johanna Machteld",1710,"Texel","Netherlands",53.053921,4.79605,1711,"Loanda","Angola",-8.838333,13.234444,2000,"ps.",2000,NA,NA,"annebassen",NA,"blocks",NA,NA,NA,NA,NA,"16 3/4 stuivers  per piece",1675
"2","WIC","Ship: Johanna Machteld",1710,"Texel","Netherlands",53.053921,4.79605,1711,"Loanda","Angola",-8.838333,13.234444,1000,"ps.",1000,NA,NA,"annebassen",NA,"blocks",NA,NA,NA,NA,NA,"16 3/4 stuivers  per piece",837.25
"3","WIC","Ship: Johanna Machteld",1710,"Texel","Netherlands",53.053921,4.79605,1711,"Loanda","Angola",-8.838333,13.234444,2000,"ps.",2000,NA,NA,"annebassen",NA,"stripes",NA,NA,NA,NA,NA,"16 3/4 stuivers  per piece",1675
"4","WIC","Ship: Johanna Machteld",1710,"Texel","Netherlands",53.053921,4.79605,1711,"Loanda","Angola",-8.838333,13.234444,1000,"ps.",1000,NA,NA,"annebassen",NA,"stripes",NA,NA,NA,NA,NA,"16 3/4 stuivers  per piece",837.25
"5","WIC","Ship: Adrichem",1714,"Vlissingen","Netherlands",51.455681,3.57649,1715,"Loanda","Angola",-8.838333,13.234444,6500,"ps.",6500,NA,NA,"annebassen",NA,NA,NA,NA,NA,NA,NA,"17 1/2 stuivers",5687.5
"6","WIC","Ship: Bosbeek",1715,"Texel","Netherlands",53.053921,4.79605,1715,"Loanda","Angola",-8.838333,13.234444,3000,"ps.",3000,NA,NA,"annebassen",NA,"blokken",NA,NA,"London",NA,NA,"17 stuivers per piece",2550
"7","WIC","Ship: Nieuwe Post",1715,"Texel","Netherlands",53.053921,4.79605,1715,"Loanda","Angola",-8.838333,13.234444,6000,"ps.",6000,NA,NA,"annebassen",NA,NA,NA,NA,NA,NA,NA,"17 stuivers per piece",5100
"8","WIC","Ship: Acredam",1714,"Texel","Netherlands",53.053921,4.79605,1715,"Ardra","Benin",6.47216,2.62652,131,"ells",131,NA,NA,"atlassen",NA,NA,NA,NA,"London",NA,NA,"23 stuivers per ell",150.65
"9","WIC","Ship: St Clara 2",1710,"Texel","Netherlands",53.053921,4.79605,1710,"Ouidah","Benin",6.3601,2.08266,90,"ps.",90,NA,NA,"baftas",NA,"floral",NA,NA,NA,NA,NA,"7 1/8 guldens per piece",641.75
"10","WIC","Ship: St Clara 2",1710,"Texel","Netherlands",53.053921,4.79605,1710,"Ouidah","Benin",6.3601,2.08266,90,"""half"" ps.",45,NA,NA,"baftas",NA,NA,NA,NA,NA,NA,NA,"4 1/2 guldens per piece",405
